task,metric,value,n,dim,ops,iters,pretrain_steps,data
anomaly,raw_summary_dist_low,0.175191,32,48,8,6,150,synthetic
anomaly,raw_summary_dist_best,0.824809,32,48,8,6,150,synthetic
anomaly,random_high,0.529032,32,48,8,6,150,synthetic
anomaly,random_low,0.470968,32,48,8,6,150,synthetic
anomaly,random_best,0.529032,32,48,8,6,150,synthetic
anomaly,closure_typicality_high,0.000000,32,48,8,6,150,synthetic
anomaly,closure_typicality_low,1.000000,32,48,8,6,150,synthetic
anomaly,closure_typicality_best,1.000000,32,48,8,6,150,synthetic
anomaly,closure_energy_typicality_high,0.000000,32,48,8,6,150,synthetic
anomaly,closure_energy_typicality_low,1.000000,32,48,8,6,150,synthetic
anomaly,closure_energy_typicality_best,1.000000,32,48,8,6,150,synthetic
anomaly,closure_distance_high,0.000000,32,48,8,6,150,synthetic
anomaly,closure_distance_low,1.000000,32,48,8,6,150,synthetic
anomaly,closure_distance_best,1.000000,32,48,8,6,150,synthetic
anomaly,closure_underclosed_high,0.000000,32,48,8,6,150,synthetic
anomaly,closure_underclosed_low,1.000000,32,48,8,6,150,synthetic
anomaly,closure_underclosed_best,1.000000,32,48,8,6,150,synthetic
anomaly,closure_overclosed_high,1.000000,32,48,8,6,150,synthetic
anomaly,closure_overclosed_low,0.000000,32,48,8,6,150,synthetic
anomaly,closure_overclosed_best,1.000000,32,48,8,6,150,synthetic
anomaly,instability_high,0.000005,32,48,8,6,150,synthetic
anomaly,instability_low,0.999995,32,48,8,6,150,synthetic
anomaly,instability_best,0.999995,32,48,8,6,150,synthetic
anomaly,recovery_high,0.000020,32,48,8,6,150,synthetic
anomaly,recovery_low,0.999980,32,48,8,6,150,synthetic
anomaly,recovery_best,0.999980,32,48,8,6,150,synthetic
anomaly,embedding_dist_high,0.009171,32,48,8,6,150,synthetic
anomaly,embedding_dist_low,0.990829,32,48,8,6,150,synthetic
anomaly,embedding_dist_best,0.990829,32,48,8,6,150,synthetic
anomaly,raw_summary_dist_high,0.703547,32,48,8,6,150,synthetic
anomaly,raw_summary_dist_low,0.296453,32,48,8,6,150,synthetic
anomaly,raw_summary_dist_best,0.703547,32,48,8,6,150,synthetic
anomaly,raw_flat_dist_high,0.078751,32,48,8,6,150,synthetic
anomaly,raw_flat_dist_low,0.921249,32,48,8,6,150,synthetic
anomaly,raw_flat_dist_best,0.921249,32,48,8,6,150,synthetic
anomaly,kmer_freq_dist_high,0.495707,32,48,8,6,150,synthetic
anomaly,kmer_freq_dist_low,0.504293,32,48,8,6,150,synthetic
anomaly,kmer_freq_dist_best,0.504293,32,48,8,6,150,synthetic
anomaly,random_high,0.486216,32,48,8,6,150,synthetic
anomaly,random_low,0.513784,32,48,8,6,150,synthetic
anomaly,random_best,0.513784,32,48,8,6,150,synthetic
dna_real,closure_typicality_high,0.678467,64,48,8,6,150,dna
dna_real,closure_typicality_low,0.321533,64,48,8,6,150,dna
dna_real,closure_typicality_best,0.678467,64,48,8,6,150,dna
dna_real,closure_energy_typicality_high,0.639757,64,48,8,6,150,dna
dna_real,closure_energy_typicality_low,0.360243,64,48,8,6,150,dna
dna_real,closure_energy_typicality_best,0.639757,64,48,8,6,150,dna
dna_real,closure_distance_high,0.694865,64,48,8,6,150,dna
dna_real,closure_distance_low,0.305135,64,48,8,6,150,dna
dna_real,closure_distance_best,0.694865,64,48,8,6,150,dna
dna_real,closure_underclosed_high,0.694865,64,48,8,6,150,dna
dna_real,closure_underclosed_low,0.305135,64,48,8,6,150,dna
dna_real,closure_underclosed_best,0.694865,64,48,8,6,150,dna
dna_real,closure_overclosed_high,0.305135,64,48,8,6,150,dna
dna_real,closure_overclosed_low,0.694865,64,48,8,6,150,dna
dna_real,closure_overclosed_best,0.694865,64,48,8,6,150,dna
dna_real,instability_high,0.620266,64,48,8,6,150,dna
dna_real,instability_low,0.379734,64,48,8,6,150,dna
dna_real,instability_best,0.620266,64,48,8,6,150,dna
dna_real,recovery_high,0.616021,64,48,8,6,150,dna
dna_real,recovery_low,0.383979,64,48,8,6,150,dna
dna_real,recovery_best,0.616021,64,48,8,6,150,dna
dna_real,embedding_dist_high,0.708984,64,48,8,6,150,dna
dna_real,embedding_dist_low,0.291016,64,48,8,6,150,dna
dna_real,embedding_dist_best,0.708984,64,48,8,6,150,dna
dna_real,raw_summary_dist_high,0.678779,64,48,8,6,150,dna
dna_real,raw_summary_dist_low,0.321221,64,48,8,6,150,dna
dna_real,raw_summary_dist_best,0.678779,64,48,8,6,150,dna
dna_real,raw_flat_dist_high,0.748847,64,48,8,6,150,dna
dna_real,raw_flat_dist_low,0.251153,64,48,8,6,150,dna
dna_real,raw_flat_dist_best,0.748847,64,48,8,6,150,dna
dna_real,kmer_freq_dist_high,0.742486,64,48,8,6,150,dna
dna_real,kmer_freq_dist_low,0.257514,64,48,8,6,150,dna
dna_real,kmer_freq_dist_best,0.742486,64,48,8,6,150,dna
dna_real,random_high,0.518894,64,48,8,6,150,dna
dna_real,random_low,0.481106,64,48,8,6,150,dna
dna_real,random_best,0.518894,64,48,8,6,150,dna
